Gmt time,Open,High,Low,Close,Volume
01.04.2025 00:00:00.000,1.29198,1.29211,1.29196,1.29207,46.83
01.04.2025 00:01:00.000,1.29208,1.29211,1.29188,1.29189,54.3
01.04.2025 00:02:00.000,1.29190,1.29207,1.29186,1.29206,31.26
01.04.2025 00:03:00.000,1.29207,1.29216,1.29204,1.29213,52.62
01.04.2025 00:04:00.000,1.29214,1.29216,1.29199,1.29206,67.05
01.04.2025 00:05:00.000,1.29208,1.29212,1.29203,1.29211,35.91
01.04.2025 00:06:00.000,1.29209,1.29210,1.29204,1.29204,18.84
01.04.2025 00:07:00.000,1.29205,1.29210,1.29201,1.29204,28.35
01.04.2025 00:08:00.000,1.29203,1.29206,1.29192,1.29192,49.65
01.04.2025 00:09:00.000,1.29194,1.29204,1.29193,1.29203,85.11
01.04.2025 00:10:00.000,1.29204,1.29216,1.29204,1.29211,74.55
01.04.2025 00:11:00.000,1.29210,1.29217,1.29210,1.29213,46.68
01.04.2025 00:12:00.000,1.29213,1.29216,1.29211,1.29214,14.64
01.04.2025 00:13:00.000,1.29216,1.29247,1.29215,1.29245,31.05
01.04.2025 00:14:00.000,1.29245,1.29247,1.29236,1.29238,22.32
01.04.2025 00:15:00.000,1.29239,1.29239,1.29231,1.29235,91.98
01.04.2025 00:16:00.000,1.29236,1.29251,1.29236,1.29244,59.4
01.04.2025 00:17:00.000,1.29243,1.29249,1.29243,1.29247,22.5
01.04.2025 00:18:00.000,1.29249,1.29265,1.29249,1.29263,66.15
01.04.2025 00:19:00.000,1.29264,1.29267,1.29261,1.29267,51.3
01.04.2025 00:20:00.000,1.29266,1.29269,1.29261,1.29264,47.7
01.04.2025 00:21:00.000,1.29264,1.29268,1.29262,1.29268,29.7
01.04.2025 00:22:00.000,1.29270,1.29270,1.29264,1.29268,38.7
01.04.2025 00:23:00.000,1.29269,1.29269,1.29264,1.29267,33.81
01.04.2025 00:24:00.000,1.29270,1.29275,1.29265,1.29267,7.05
01.04.2025 00:25:00.000,1.29267,1.29270,1.29241,1.29244,16.47
01.04.2025 00:26:00.000,1.29244,1.29249,1.29241,1.29247,11.49
01.04.2025 00:27:00.000,1.29250,1.29257,1.29250,1.29257,10.95
01.04.2025 00:28:00.000,1.29255,1.29256,1.29240,1.29240,24.33
01.04.2025 00:29:00.000,1.29240,1.29242,1.29236,1.29239,32.07
01.04.2025 00:30:00.000,1.29237,1.29238,1.29227,1.29233,19.5
01.04.2025 00:31:00.000,1.29232,1.29243,1.29232,1.29241,5.64
01.04.2025 00:32:00.000,1.29241,1.29243,1.29233,1.29241,17.22
01.04.2025 00:33:00.000,1.29238,1.29238,1.29226,1.29226,63.75
01.04.2025 00:34:00.000,1.29226,1.29234,1.29226,1.29231,47.34
01.04.2025 00:35:00.000,1.29231,1.29233,1.29226,1.29227,93.51
01.04.2025 00:36:00.000,1.29228,1.29233,1.29223,1.29230,63.54
01.04.2025 00:37:00.000,1.29230,1.29231,1.29217,1.29221,43.68
01.04.2025 00:38:00.000,1.29223,1.29224,1.29219,1.29222,37.32
01.04.2025 00:39:00.000,1.29221,1.29228,1.29218,1.29228,52.41
01.04.2025 00:40:00.000,1.29227,1.29227,1.29216,1.29221,78.48
01.04.2025 00:41:00.000,1.29219,1.29223,1.29216,1.29217,39
01.04.2025 00:42:00.000,1.29214,1.29223,1.29209,1.29223,41.52
01.04.2025 00:43:00.000,1.29222,1.29231,1.29222,1.29230,33.48
01.04.2025 00:44:00.000,1.29232,1.29233,1.29228,1.29233,44.64
01.04.2025 00:45:00.000,1.29233,1.29238,1.29229,1.29238,106.44
01.04.2025 00:46:00.000,1.29238,1.29245,1.29232,1.29233,100.56
01.04.2025 00:47:00.000,1.29233,1.29236,1.29225,1.29225,68.52
01.04.2025 00:48:00.000,1.29225,1.29227,1.29218,1.29227,55.8
01.04.2025 00:49:00.000,1.29228,1.29231,1.29225,1.29226,66.6
01.04.2025 00:50:00.000,1.29227,1.29233,1.29213,1.29214,88.68
01.04.2025 00:51:00.000,1.29216,1.29224,1.29215,1.29218,87.48
01.04.2025 00:52:00.000,1.29219,1.29232,1.29218,1.29221,100.8
01.04.2025 00:53:00.000,1.29222,1.29246,1.29217,1.29244,62.1
01.04.2025 00:54:00.000,1.29245,1.29264,1.29241,1.29259,126.45
01.04.2025 00:55:00.000,1.29259,1.29267,1.29250,1.29255,126.78
01.04.2025 00:56:00.000,1.29255,1.29261,1.29250,1.29261,44.73
01.04.2025 00:57:00.000,1.29261,1.29276,1.29261,1.29265,47.82
01.04.2025 00:58:00.000,1.29266,1.29275,1.29263,1.29271,50.22
01.04.2025 00:59:00.000,1.29266,1.29269,1.29263,1.29266,37.35
01.04.2025 01:00:00.000,1.29262,1.29275,1.29257,1.29267,70.68
01.04.2025 01:01:00.000,1.29267,1.29274,1.29256,1.29256,62.19
01.04.2025 01:02:00.000,1.29256,1.29256,1.29236,1.29253,55.83
01.04.2025 01:03:00.000,1.29255,1.29256,1.29246,1.29250,33.3
01.04.2025 01:04:00.000,1.29249,1.29258,1.29243,1.29247,57.84
01.04.2025 01:05:00.000,1.29245,1.29246,1.29228,1.29234,35.1
01.04.2025 01:06:00.000,1.29233,1.29237,1.29226,1.29237,61.2
01.04.2025 01:07:00.000,1.29234,1.29235,1.29220,1.29227,43.2
01.04.2025 01:08:00.000,1.29227,1.29237,1.29225,1.29227,44.55
01.04.2025 01:09:00.000,1.29229,1.29229,1.29210,1.29212,62.1
01.04.2025 01:10:00.000,1.29213,1.29221,1.29211,1.29216,56.7
