Gmt time,Open,High,Low,Close,Volume
01.04.2025 00:00:00.000,1.29192,1.29202,1.29192,1.29201,246.6
01.04.2025 00:01:00.000,1.29201,1.29202,1.29180,1.29182,174.6
01.04.2025 00:02:00.000,1.29183,1.29200,1.29179,1.29197,281.7
01.04.2025 00:03:00.000,1.29197,1.29209,1.29196,1.29206,196.2
01.04.2025 00:04:00.000,1.29208,1.29211,1.29191,1.29199,201.6
01.04.2025 00:05:00.000,1.29200,1.29205,1.29194,1.29205,89.1
01.04.2025 00:06:00.000,1.29202,1.29202,1.29197,1.29198,45.9
01.04.2025 00:07:00.000,1.29198,1.29203,1.29194,1.29195,98.1
01.04.2025 00:08:00.000,1.29197,1.29199,1.29181,1.29183,115.2
01.04.2025 00:09:00.000,1.29182,1.29195,1.29182,1.29194,209.7
01.04.2025 00:10:00.000,1.29194,1.29207,1.29194,1.29200,181.35
01.04.2025 00:11:00.000,1.29202,1.29209,1.29199,1.29205,115.2
01.04.2025 00:12:00.000,1.29204,1.29207,1.29201,1.29205,127.8
01.04.2025 00:13:00.000,1.29205,1.29238,1.29204,1.29236,243.45
01.04.2025 00:14:00.000,1.29237,1.29240,1.29228,1.29228,60.42
01.04.2025 00:15:00.000,1.29228,1.29229,1.29223,1.29229,156.6
01.04.2025 00:16:00.000,1.29231,1.29241,1.29231,1.29237,83.7
01.04.2025 00:17:00.000,1.29237,1.29241,1.29236,1.29239,15.3
01.04.2025 00:18:00.000,1.29239,1.29257,1.29239,1.29255,95.4
01.04.2025 00:19:00.000,1.29255,1.29259,1.29253,1.29259,60.3
01.04.2025 00:20:00.000,1.29259,1.29259,1.29253,1.29256,39.12
01.04.2025 00:21:00.000,1.29255,1.29261,1.29254,1.29260,26.4
01.04.2025 00:22:00.000,1.29262,1.29263,1.29256,1.29259,54.27
01.04.2025 00:23:00.000,1.29261,1.29262,1.29258,1.29260,33.63
01.04.2025 00:24:00.000,1.29264,1.29269,1.29258,1.29260,69.3
01.04.2025 00:25:00.000,1.29261,1.29264,1.29234,1.29234,178.2
01.04.2025 00:26:00.000,1.29236,1.29241,1.29234,1.29240,65.7
01.04.2025 00:27:00.000,1.29244,1.29249,1.29243,1.29248,49.5
01.04.2025 00:28:00.000,1.29249,1.29249,1.29234,1.29235,54.9
01.04.2025 00:29:00.000,1.29232,1.29236,1.29228,1.29229,86.4
01.04.2025 00:30:00.000,1.29229,1.29230,1.29219,1.29227,67.5
01.04.2025 00:31:00.000,1.29225,1.29237,1.29223,1.29233,53.1
01.04.2025 00:32:00.000,1.29234,1.29236,1.29226,1.29232,89.1
01.04.2025 00:33:00.000,1.29232,1.29232,1.29219,1.29221,99.9
01.04.2025 00:34:00.000,1.29219,1.29226,1.29219,1.29223,55.8
01.04.2025 00:35:00.000,1.29221,1.29225,1.29218,1.29221,81.9
